# x, sinc(x)
-9.589589589589589735e+00,-1.710881511198208277e-02
-9.549549549549549710e+00,-1.303182945014811668e-02
-9.509509509509509684e+00,-8.899533419513949023e-03
-9.469469469469469658e+00,-4.717965778429732311e-03
-9.429429429429429632e+00,-4.932909166518841329e-04
-9.389389389389389606e+00,3.768209399976110187e-03
-9.349349349349349581e+00,8.060144516654066740e-03
-9.309309309309309555e+00,1.237602359783627690e-02
-9.269269269269269529e+00,1.670926454541901002e-02
-9.229229229229229503e+00,2.105320311543981693e-02
-9.189189189189189477e+00,2.540110222147855951e-02
-9.149149149149149451e+00,2.974616141261980651e-02
-9.109109109109109426e+00,3.408152651352153867e-02
-9.069069069069069400e+00,3.840029941383670681e-02
-9.029029029029029374e+00,4.269554799395239297e-02
-8.988988988988989348e+00,4.696031617374674810e-02
-8.948948948948949322e+00,5.118763407081686895e-02
-8.908908908908909297e+00,5.537052825440173104e-02
-8.868868868868869271e+00,5.950203208101396274e-02
-8.828828828828829245e+00,6.357519609760220458e-02
-8.788788788788789219e+00,6.758309849789342905e-02
-8.748748748748749193e+00,7.151885561741135044e-02
-8.708708708708709167e+00,7.537563245253363353e-02
-8.668668668668669142e+00,7.914665318883755407e-02
-8.628628628628629116e+00,8.282521172389009645e-02
-8.588588588588589090e+00,8.640468216956667669e-02
-8.548548548548549064e+00,8.987852931893010322e-02
-8.508508508508509038e+00,9.324031906267064851e-02
-8.468468468468469013e+00,9.648372874009784883e-02
-8.428428428428428987e+00,9.960255740968573801e-02
-8.388388388388388961e+00,1.025907360242049038e-01
-8.348348348348348935e+00,1.054423374955284487e-01
-8.308308308308308909e+00,1.081515866342728366e-01
-8.268268268268268884e+00,1.107128699495304458e-01
-8.228228228228228858e+00,1.131207452940672237e-01
-8.188188188188188832e+00,1.153699513404962129e-01
-8.148148148148148806e+00,1.174554168740966076e-01
-8.108108108108108780e+00,1.193722698881271860e-01
-8.068068068068068754e+00,1.211158464676825725e-01
-8.028028028028028729e+00,1.226816994483617140e-01
-7.987987987987988703e+00,1.240656068362576553e-01
-7.947947947947948677e+00,1.252635799760386803e-01
-7.907907907907908651e+00,1.262718714541705423e-01
-7.867867867867868625e+00,1.270869827246290107e-01
-7.827827827827828600e+00,1.277056714447698249e-01
-7.787787787787788574e+00,1.281249585093605092e-01
-7.747747747747748548e+00,1.283421347711331817e-01
-7.707707707707708522e+00,1.283547674365902447e-01
-7.667667667667668496e+00,1.281607061261853531e-01
-7.627627627627628470e+00,1.277580885884082307e-01
-7.587587587587588445e+00,1.271453460577258998e-01
-7.547547547547548419e+00,1.263212082467718711e-01
-7.507507507507508393e+00,1.252847079636281447e-01
-7.467467467467468367e+00,1.240351853455154418e-01
-7.427427427427428341e+00,1.225722917006888124e-01
-7.387387387387388316e+00,1.208959929508326148e-01
-7.347347347347348290e+00,1.190065726667587781e-01
-7.307307307307308264e+00,1.169046346907326034e-01
-7.267267267267268238e+00,1.145911053392842938e-01
-7.227227227227228212e+00,1.120672351809075679e-01
-7.187187187187188186e+00,1.093346003836005026e-01
-7.147147147147146384e+00,1.063951036277670514e-01
-7.107107107107106359e+00,1.032509745805697682e-01
-7.067067067067066333e+00,9.990476992840147119e-02
-7.027027027027026307e+00,9.635937296473442992e-02
-6.986986986986986281e+00,9.261799273119403209e-02
-6.946946946946946255e+00,8.868416271030475639e-02
-6.906906906906906229e+00,8.456173906895851633e-02
-6.866866866866866204e+00,8.025489845226198293e-02
-6.826826826826826178e+00,7.576813532802961770e-02
-6.786786786786786152e+00,7.110625888280101836e-02
-6.746746746746746126e+00,6.627438947087431476e-02
-6.706706706706706100e+00,6.127795461846117370e-02
-6.666666666666666075e+00,5.612268458568287627e-02
-6.626626626626626049e+00,5.081460748973858077e-02
-6.586586586586586023e+00,4.536004399318755570e-02
-6.546546546546545997e+00,3.976560156189436201e-02
-6.506506506506505971e+00,3.403816829778971015e-02
-6.466466466466465945e+00,2.818490635219862706e-02
-6.426426426426425920e+00,2.221324492608143034e-02
-6.386386386386385894e+00,1.613087286412015833e-02
-6.346346346346345868e+00,9.945730850163711848e-03
-6.306306306306305842e+00,3.666003212117213694e-03
-6.266266266266265816e+00,-2.699890655075096527e-03
-6.226226226226225791e+00,-9.143305239149888269e-03
-6.186186186186185765e+00,-1.565537822320022671e-02
-6.146146146146145739e+00,-2.222704015102620542e-02
-6.106106106106105713e+00,-2.884902443435942432e-02
-6.066066066066065687e+00,-3.551187769065156097e-02
-6.026026026026025662e+00,-4.220597039962234454e-02
-5.985985985985985636e+00,-4.892150786628102210e-02
-5.945945945945945610e+00,-5.564854147766937903e-02
-5.905905905905905584e+00,-6.237698024012344050e-02
-5.865865865865865558e+00,-6.909660258341634997e-02
-5.825825825825825532e+00,-7.579706841772693160e-02
-5.785785785785785507e+00,-8.246793142897787532e-02
-5.745745745745745481e+00,-8.909865159770526122e-02
-5.705705705705705455e+00,-9.567860792625622335e-02
-5.665665665665665429e+00,-1.021971113587679808e-01
-5.625625625625625403e+00,-1.086434178780549542e-01
-5.585585585585585378e+00,-1.150067417632264499e-01
-5.545545545545545352e+00,-1.212762689915722614e-01
-5.505505505505505326e+00,-1.274411707679910244e-01
-5.465465465465465300e+00,-1.334906171649929973e-01
-5.425425425425425274e+00,-1.394137908560903194e-01
-5.385385385385385248e+00,-1.451999009251890849e-01
-5.345345345345345223e+00,-1.508381967344225583e-01
-5.305305305305305197e+00,-1.563179818327132820e-01
-5.265265265265265171e+00,-1.616286278872217652e-01
-5.225225225225225145e+00,-1.667595886197345556e-01
-5.185185185185185119e+00,-1.717004137299622812e-01
-5.145145145145145094e+00,-1.764407627876597440e-01
-5.105105105105105068e+00,-1.809704190754463093e-01
-5.065065065065065042e+00,-1.852793033641945419e-01
-5.025025025025025016e+00,-1.893574876028688014e-01
-4.984984984984984990e+00,-1.931952085047340950e-01
-4.944944944944944965e+00,-1.967828810119179594e-01
-4.904904904904904939e+00,-2.001111116203937168e-01
-4.864864864864864913e+00,-2.031707115475663294e-01
-4.824824824824824887e+00,-2.059527097247746685e-01
-4.784784784784784861e+00,-2.084483655971848259e-01
-4.744744744744744835e+00,-2.106491817137300382e-01
-4.704704704704704810e+00,-2.125469160899608467e-01
-4.664664664664664784e+00,-2.141335943268972419e-01
-4.624624624624624758e+00,-2.154015214692286961e-01
-4.584584584584584732e+00,-2.163432935864830209e-01
-4.544544544544544706e+00,-2.169518090610836614e-01
-4.504504504504504681e+00,-2.172202795675357845e-01
-4.464464464464464655e+00,-2.171422407273236876e-01
-4.424424424424424629e+00,-2.167115624244667638e-01
-4.384384384384384603e+00,-2.159224587670651729e-01
-4.344344344344344577e+00,-2.147694976805727962e-01
-4.304304304304304551e+00,-2.132476101189609008e-01
-4.264264264264264526e+00,-2.113520988803802292e-01
-4.224224224224224500e+00,-2.090786470143942422e-01
-4.184184184184184474e+00,-2.064233258083387479e-01
-4.144144144144144448e+00,-2.033826023408638051e-01
-4.104104104104104422e+00,-1.999533465912309571e-01
-4.064064064064064397e+00,-1.961328380934736215e-01
-4.024024024024024371e+00,-1.919187721250788792e-01
-3.983983983983982569e+00,-1.873092654204131513e-01
-3.943943943943942543e+00,-1.823028613996964531e-01
-3.903903903903902517e+00,-1.768985349049183586e-01
-3.863863863863862491e+00,-1.710956964347027653e-01
-3.823823823823822465e+00,-1.648941958707406952e-01
-3.783783783783782440e+00,-1.582943256890428640e-01
-3.743743743743742414e+00,-1.512968236499053765e-01
-3.703703703703702388e+00,-1.439028749611299951e-01
-3.663663663663662362e+00,-1.361141139097018227e-01
-3.623623623623622336e+00,-1.279326249577924235e-01
-3.583583583583582310e+00,-1.193609432996323438e-01
-3.543543543543542285e+00,-1.104020548764770987e-01
-3.503503503503502259e+00,-1.010593958475761167e-01
-3.463463463463462233e+00,-9.133685151574567895e-02
-3.423423423423422207e+00,-8.123875470684008282e-02
-3.383383383383382181e+00,-7.076988360311224635e-02
-3.343343343343342156e+00,-5.993545903115341661e-02
-3.303303303303302130e+00,-4.874114120580053111e-02
-3.263263263263262104e+00,-3.719302593209946467e-02
-3.223223223223222078e+00,-2.529764026810935734e-02
-3.183183183183182052e+00,-1.306193765203030044e-02
-3.143143143143142026e+00,-4.932924978288704592e-04
-3.103103103103102001e+00,1.240050573577433819e-02
-3.063063063063061975e+00,2.561125899740679043e-02
-3.023023023023021949e+00,3.913036761000855679e-02
-2.982982982982981923e+00,5.294883774575998708e-02
-2.942942942942941897e+00,6.705728940140870398e-02
-2.902902902902901872e+00,8.144596486577580785e-02
-2.862862862862861846e+00,9.610473767057421679e-02
-2.822822822822821820e+00,1.110231220150354747e-01
-2.782782782782781794e+00,1.261902826542156963e-01
-2.742742742742741768e+00,1.415950452402370552e-01
-2.702702702702701743e+00,1.572259071051207158e-01
-2.662662662662661717e+00,1.730710484732790322e-01
-2.622622622622621691e+00,1.891183440911619884e-01
-2.582582582582581665e+00,2.053553752609940386e-01
-2.542542542542541639e+00,2.217694422649962582e-01
-2.502502502502501613e+00,2.383475771659619991e-01
-2.462462462462461588e+00,2.550765569695468415e-01
-2.422422422422421562e+00,2.719429171331424477e-01
-2.382382382382381536e+00,2.889329654057337105e-01
-2.342342342342341510e+00,3.060327959826844579e-01
-2.302302302302301484e+00,3.232283039589672335e-01
-2.262262262262261459e+00,3.405052000639384180e-01
-2.222222222222221433e+00,3.578490256603724662e-01
-2.182182182182181407e+00,3.752451679900972725e-01
-2.142142142142141381e+00,3.926788756482287868e-01
-2.102102102102101355e+00,4.101352742676774854e-01
-2.062062062062061329e+00,4.275993823953003758e-01
-2.022022022022021304e+00,4.450561275407933781e-01
-1.981981981981981278e+00,4.624903623791674079e-01
-1.941941941941941252e+00,4.798868810874224455e-01
-1.901901901901901226e+00,4.972304357958298726e-01
-1.861861861861861200e+00,5.145057531340546664e-01
-1.821821821821821175e+00,5.316975508521956106e-01
-1.781781781781781149e+00,5.487905544966918958e-01
-1.741741741741741123e+00,5.657695141209460044e-01
-1.701701701701701097e+00,5.826192210104309543e-01
-1.661661661661661071e+00,5.993245244020038998e-01
-1.621621621621621046e+00,6.158703481771210519e-01
-1.581581581581581020e+00,6.322417075086511629e-01
-1.541541541541540994e+00,6.484237254410136764e-01
-1.501501501501500968e+00,6.644016493834192794e-01
-1.461461461461460942e+00,6.801608674960728518e-01
-1.421421421421420916e+00,6.956869249493055074e-01
-1.381381381381380891e+00,7.109655400357302035e-01
-1.341341341341340865e+00,7.259826201156793779e-01
-1.301301301301300839e+00,7.407242773763609289e-01
-1.261261261261260813e+00,7.551768443853817958e-01
-1.221221221221220787e+00,7.693268894195189889e-01
