# x, f(x), root1, root2
-4.984962406015037928e+00,-3.969924812030075856e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-4.899749373433584410e+00,-3.799498746867168819e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-4.814536340852130891e+00,-3.629072681704261782e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-4.729323308270677373e+00,-3.458646616541354746e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-4.644110275689223855e+00,-3.288220551378447709e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-4.558897243107770336e+00,-3.117794486215540672e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-4.473684210526316818e+00,-2.947368421052633636e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-4.388471177944863300e+00,-2.776942355889726599e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-4.303258145363409781e+00,-2.606516290726819562e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-4.218045112781956263e+00,-2.436090225563912526e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-4.132832080200502745e+00,-2.265664160401005489e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-4.047619047619047450e+00,-2.095238095238094900e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-3.962406015037593932e+00,-1.924812030075187863e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-3.877192982456140413e+00,-1.754385964912280826e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-3.791979949874686895e+00,-1.583959899749373790e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-3.706766917293233377e+00,-1.413533834586466753e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-3.621553884711779858e+00,-1.243107769423559716e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-3.536340852130326340e+00,-1.072681704260652680e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-3.451127819548872822e+00,-9.022556390977456431e-01,-3.000000000000000000e+00,-3.000000000000000000e+00
-3.365914786967419303e+00,-7.318295739348386064e-01,-3.000000000000000000e+00,-3.000000000000000000e+00
